"date","job_count"
"2022-12-31","7"
"2023-01-01","2"
"2023-01-02","3"
"2023-01-03","7"
"2023-01-04","12"
"2023-01-05","12"
"2023-01-06","12"
"2023-01-07","8"
"2023-01-08","6"
"2023-01-09","6"
"2023-01-10","5"
"2023-01-11","7"
"2023-01-12","10"
"2023-01-13","10"
"2023-01-14","11"
"2023-01-15","30"
"2023-01-16","11"
"2023-01-17","12"
"2023-01-18","7"
"2023-01-19","6"
"2023-01-20","9"
"2023-01-21","7"
"2023-01-22","5"
"2023-01-23","20"
"2023-01-24","16"
"2023-01-25","10"
"2023-01-26","8"
"2023-01-27","11"
"2023-01-28","7"
"2023-01-29","3"
"2023-01-30","4"
"2023-01-31","11"
"2023-02-01","7"
"2023-02-02","9"
"2023-02-03","8"
"2023-02-04","5"
"2023-02-05","3"
"2023-02-06","8"
"2023-02-07","5"
"2023-02-08","9"
"2023-02-09","4"
"2023-02-10","9"
"2023-02-11","5"
"2023-02-12","1"
"2023-02-13","5"
"2023-02-14","6"
"2023-02-15","8"
"2023-02-16","7"
"2023-02-17","5"
"2023-02-18","1"
"2023-02-19","4"
"2023-02-20","1"
"2023-02-21","9"
"2023-02-22","4"
"2023-02-23","7"
"2023-02-24","5"
"2023-02-25","6"
"2023-02-26","2"
"2023-02-27","4"
"2023-02-28","1"
"2023-03-01","10"
"2023-03-02","9"
"2023-03-03","2"
"2023-03-04","3"
"2023-03-05","4"
"2023-03-06","2"
"2023-03-07","7"
"2023-03-08","6"
"2023-03-09","2"
"2023-03-10","4"
"2023-03-11","2"
"2023-03-12","1"
"2023-03-13","2"
"2023-03-14","6"
"2023-03-15","4"
"2023-03-16","5"
"2023-03-17","5"
"2023-03-18","5"
"2023-03-19","3"
"2023-03-20","4"
"2023-03-21","9"
"2023-03-22","4"
"2023-03-23","7"
"2023-03-24","5"
"2023-03-25","4"
"2023-03-26","2"
"2023-03-27","16"
"2023-03-28","4"
"2023-03-29","4"
"2023-03-30","4"
"2023-03-31","10"
"2023-04-01","7"
"2023-04-02","3"
"2023-04-03","5"
"2023-04-04","7"
"2023-04-05","3"
